Price,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors
197792,70,Splitsko-dalmatinska,Gradac,Podaca,2-sobni,U stambenoj zgradi,Višeetažni
252356,84,Splitsko-dalmatinska,Podstrana,Podstrana,2-sobni,U stambenoj zgradi,Jednoetažni
210424,66,Splitsko-dalmatinska,Podstrana,Podstrana,1-sobni,U stambenoj zgradi,Jednoetažni
171000,53,Splitsko-dalmatinska,Podstrana,Podstrana,2-sobni,U stambenoj zgradi,Višeetažni
298648,93,Splitsko-dalmatinska,Podstrana,Podstrana,2-sobni,U stambenoj zgradi,Jednoetažni
319600,63,Splitsko-dalmatinska,Makarska,Makarska,2-sobni,U stambenoj zgradi,Jednoetažni
210800,52,Splitsko-dalmatinska,Split,Sirobuja,1-sobni,U stambenoj zgradi,Jednoetažni
299720,101,Splitsko-dalmatinska,Podstrana,Podstrana,3-sobni,U stambenoj zgradi,Jednoetažni
171000,53,Splitsko-dalmatinska,Podstrana,Podstrana,2-sobni,U stambenoj zgradi,Višeetažni
359105,71,Splitsko-dalmatinska,Makarska,Makarska,2-sobni,U stambenoj zgradi,Jednoetažni
335000,56,Splitsko-dalmatinska,Okrug,Okrug Gornji,3-sobni,U stambenoj zgradi,Jednoetažni
335000,56,Splitsko-dalmatinska,Okrug,Okrug Gornji,3-sobni,U stambenoj zgradi,Jednoetažni
350000,60,Splitsko-dalmatinska,Okrug,Okrug Gornji,3-sobni,U stambenoj zgradi,Jednoetažni
190000,51,Splitsko-dalmatinska,Okrug,Okrug Gornji,3-sobni,U stambenoj zgradi,Jednoetažni
300000,74,Splitsko-dalmatinska,Split,Grad,3-sobni,U stambenoj zgradi,Jednoetažni
324984,108,Splitsko-dalmatinska,Podstrana,Podstrana,3-sobni,U stambenoj zgradi,Jednoetažni
223462,74,Splitsko-dalmatinska,Podstrana,Podstrana,2-sobni,U stambenoj zgradi,Jednoetažni
250000,66,Splitsko-dalmatinska,Split,Dragovode,3-sobni,U stambenoj zgradi,Jednoetažni
355000,81,Splitsko-dalmatinska,Marina,Marina,2-sobni,U stambenoj zgradi,Višeetažni
